assigned_instructor_id,term_id,course_id,instructor_id
1,2021fa,4000,1
2,2021fa,6021,2
3,2021fa,5100,3
4,2021fa,5012,4
5,2021fa,6030,5
6,2021fa,5559,6
7,2021fa,5110,7
8,2021fa,5001,8
9,2021fa,6001,9
10,2021fa,6011,4
11,2021fa,6011,10
12,2021fa,6011,11
13,2021fa,6011,12
14,2021fa,6011,13
15,2021fa,6011,14
16,2021fa,6040,5
17,2021fa,6002,15
18,2021fa,6050,16
19,2021fa,6013,17
20,2021fa,6013,18
21,2021su,4000,1
22,2021su,6021,2
23,2021su,5100,21
24,2021su,5012,4
25,2021su,6030,10
26,2021su,5110,7
27,2021su,5001,8
28,2021su,6001,17
29,2021su,6011,17
30,2021su,6011,18
31,2021su,6040,18
32,2021su,6002,15
33,2021su,6050,19
34,2021su,6013,20
35,2021su,6012,15
36,2021su,6003,25
37,2021sp,4000,1
38,2021sp,6021,2
39,2021sp,5100,3
40,2021sp,5012,22
41,2021sp,6030,23
42,2021sp,5110,7
43,2021sp,5001,8
44,2021sp,6001,20
45,2021sp,6011,20
46,2021sp,6040,5
47,2021sp,6002,24
48,2021sp,6050,19
49,2021sp,6013,17
50,2021sp,6003,25
51,2021sp,6012,24
52,2021sp,5400,26
